#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
1,USA,"105,524,399",,"1,148,090                                ",,"103,052,729",,"1,323,580","2,482","315,181","3,429","1,168,329,542","3,489,579","334,805,269 ",North America,,32920,,,"3,953",
2,India,"44,688,693",,"530,775                                ",,"44,154,842",,"3,076",N/A,"31,770",377,"919,314,929","653,558","1,406,631,776 ",Asia,,"312,6502",,,2,
3,France,"39,639,112",,"165,073                                ",,"39,413,395","+4,021","60,644",869,"604,397","2,517","271,490,188","4,139,547","65,584,518 ",Europe,,23970,,,925,
4,Germany,"38,241,231",,"168,808                                ",,"37,823,200","+16,700","249,223",N/A,"455,884","2,012","122,332,384","1,458,359","83,883,596 ",Europe,,24971,,,"2,971",
5,Brazil,"37,085,520",,"699,310                                ",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593 ",South America,,63083,,,636,
6,Japan,"33,298,296","+9,834","72,989                                ",+80,"21,697,743","+1,491","11,527,564",124,"265,146",581,"95,996,267","764,394","125,584,838 ",Asia,,"41,7211",78,0.6,"91,791",
7,S. Korea,"30,605,187","+10,890","34,081                                ",+20,"30,395,510","+10,262","175,596",143,"596,245",664,"15,804,065","307,892","51,329,899 ",Asia,,"21,5063",212,0.4,"3,421",
8,Italy,"25,603,510",,"188,322                                ",,"25,267,118",,"148,070",137,"424,864","3,125","268,196,399","4,450,449","60,262,770 ",Europe,,23200,,,"2,457",
9,UK,"24,370,154",,"206,952                                ",,"24,116,862","+3,316","46,340",N/A,"355,780","3,021","522,526,476","7,628,357","68,497,907 ",Europe,,33310,,,677,
10,Russia,"22,388,556","+12,496","396,463                                ",+40,"21,729,768","+12,536","262,325",N/A,"153,550","2,719","273,400,000","1,875,095","145,805,947 ",Europe,,73681,86,0.3,"1,799",
11,Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976 ",Asia,,58431,,,"1,819",
12,Spain,"13,770,429",,"119,479                                ",,"13,615,878",,"35,072",231,"294,749","2,557","471,036,328","10,082,298","46,719,142 ",Europe,,33910,,,751,
13,Vietnam,"11,526,994",,"43,186                                ",,"10,614,807",,"869,001",3,"116,489",436,"85,826,548","867,342","98,953,541 ",Asia,,"92,2911",,,"8,782",
14,Australia,"11,385,534",,"19,459                                ",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,,"21,3400",,,"1,285",
15,Taiwan,"10,143,788","+9,584","18,371                                ",+49,"9,875,952","+15,391","249,465",,"424,629",769,"30,742,304","1,286,903","23,888,595 ",Asia,,"21,3001",401,2,"10,443",
16,Argentina,"10,044,957",,"130,472                                ",,"9,911,664",,"2,821",363,"218,320","2,836","35,716,069","776,264","46,010,234 ",South America,,53531,,,61,
17,Netherlands,"8,600,120",,"22,992                                ",,"8,561,362",+252,"15,766",53,"499,674","1,336","25,984,435","1,509,718","17,211,447 ",Europe,,27491,,,916,
18,Iran,"7,571,996",,"144,922                                ",,"7,339,963",,"87,111",382,"88,023","1,685","55,353,767","643,478","86,022,837 ",Asia,,115942,,,"1,013",
19,Mexico,"7,475,219",,"333,136                                ",,"6,713,635",,"428,448",N/A,"56,819","2,532","19,572,325","148,768","131,562,772 ",North America,,183957,,,"3,257",
20,Indonesia,"6,738,225",+307,"160,941                                ",+4,"6,574,177",+291,"3,107",N/A,"24,140",577,"114,158,919","408,975","279,134,505 ",Asia,,"411,7342",1,0.01,11,
21,Poland,"6,444,960","+3,462","119,010                                ",+21,"5,335,940",,"990,010",696,"170,774","3,153","38,345,769","1,016,057","37,739,785 ",Europe,,63171,92,0.6,"26,233",
22,Colombia,"6,360,780",,"142,639                                ",,"6,184,346",,"33,795",342,"123,480","2,769","36,951,507","717,327","51,512,762 ",South America,,83611,,,656,
23,Austria,"5,955,860",,"21,949                                ",,"5,879,291",,"54,620",72,"656,893","2,421","211,273,524","23,302,116","9,066,710 ",Europe,,24130,,,"6,024",
24,Greece,"5,871,458",,"36,185                                ",,"5,824,799","+2,618","10,474",115,"569,125","3,507","102,228,365","9,909,078","10,316,637 ",Europe,,22850,,,"1,015",
25,Portugal,"5,570,473",,"26,266                                ",,"5,538,659",,"5,548",61,"549,325","2,590","45,994,869","4,535,728","10,140,570 ",Europe,,23860,,,547,
26,Ukraine,"5,399,231",,"111,298                                ",,"5,270,797",,"17,136",,"125,005","2,577","32,603,805","754,855","43,192,122 ",Europe,,83881,,,397,
27,Chile,"5,188,380",,"64,254                                ",,"5,116,507",,"7,619",88,"269,524","3,338","48,553,965","2,522,258","19,250,195 ",South America,,43000,,,396,
28,Malaysia,"5,044,439",,"36,967                                ",,"4,998,219",,"9,253",7,"152,028","1,114","68,274,644","2,057,638","33,181,072 ",Asia,,78980,,,279,
29,Israel,"4,803,173",,"12,325                                ",,"4,781,252",,"9,596",57,"515,030","1,322","41,373,364","4,436,346","9,326,000 ",Asia,,27570,,,"1,029",
30,DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,,"5351,225",,,,
31,Thailand,"4,728,182",,"33,918                                ",,"4,692,636",,"1,628",N/A,"67,470",484,"17,270,775","246,450","70,078,203 ",Asia,,"152,0664",,,23,
32,Belgium,"4,727,795",,"33,775                                ",,"4,664,797",+792,"29,223",43,"405,184","2,895","36,752,058","3,149,741","11,668,278 ",Europe,,23450,,,"2,504",
33,Czechia,"4,618,256","+1,146","42,491                                ",+1,"4,565,267",+149,"10,498",48,"430,134","3,958","57,037,294","5,312,326","10,736,784 ",Europe,,22530,107,0.09,978,
34,Canada,"4,600,615",,"51,447                                ",,"4,512,398","+1,441","36,770",99,"119,844","1,340","66,343,123","1,728,207","38,388,419 ",North America,,87461,,,958,
35,Peru,"4,486,934",,"219,513                                ",,"4,265,490",+100,"1,931",31,"133,206","6,517","38,095,743","1,130,967","33,684,208 ",South America,,81531,,,57,
36,Switzerland,"4,392,464",,"14,452                                ",,"4,373,995",,"4,017",39,"500,643","1,647","23,833,472","2,716,487","8,773,637 ",Europe,,26070,,,458,
37,Philippines,"4,077,452",+162,"66,188                                ",+12,"4,002,247",+64,"9,017",162,"36,241",588,"34,667,870","308,134","112,508,994 ",Asia,,"281,7003",1,0.1,80,
38,South Africa,"4,066,641",,"102,595                                ",,"3,912,506",,"51,540",192,"66,934","1,689","26,795,090","441,027","60,756,135 ",Africa,,155922,,,848,
39,Romania,"3,346,046",,"67,736                                ",,"3,267,395",,"10,915",119,"175,818","3,559","26,750,616","1,405,609","19,031,335 ",Europe,,62811,,,574,
40,Denmark,"3,175,738",,"8,292                                ",,"3,166,529",,917,19,"544,261","1,421","129,206,485","22,143,546","5,834,950 ",Europe,,27040,,,157,
41,Hong Kong,"2,883,801",,"13,466                                ",,"2,863,359",,"6,976",28,"379,233","1,771","76,127,725","10,011,143","7,604,299 ",Asia,,35650,,,917,
42,Sweden,"2,698,535",,"23,703                                ",,"2,672,133",+175,"2,699",8,"264,071","2,320","19,477,620","1,906,026","10,218,971 ",Europe,,44311,,,264,
43,Serbia,"2,499,269",,"17,875                                ",,"2,466,394",,"15,000",12,"288,832","2,066","12,459,576","1,439,911","8,653,016 ",Europe,,34841,,,"1,733",
44,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,,"171,6622",,,16,
45,Singapore,"2,230,570",,"1,722                                ",,"2,149,583",,"79,265",1,"375,293",290,"24,756,666","4,165,302","5,943,546 ",Asia,,"33,4520",,,"13,336",
46,New Zealand,"2,228,291",,"3,922                                ",,"2,214,316",,"10,053",,"454,920",801,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,,"21,2491",,,"2,052",
47,Hungary,"2,196,804",,"48,762                                ",,"2,143,788",,"4,254",14,"228,685","5,076","11,394,556","1,186,160","9,606,259 ",Europe,,41971,,,443,
48,Bangladesh,"2,037,871",,"29,445                                ",,"1,998,448",,"9,978",N/A,"12,138",175,"15,254,399","90,862","167,885,689 ",Asia,,"825,70211",,,59,
49,Slovakia,"1,863,865",+116,"21,035                                ",+2,"1,841,462",+98,"1,368",25,"341,355","3,852","7,408,131","1,356,753","5,460,193 ",Europe,,32601,21,0.4,251,
50,Georgia,"1,825,598",,"16,965                                ",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738 ",Asia,,22340,,,"8,084",
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181,
52,Ireland,"1,703,850",,"8,691                                ",,"1,692,926",+53,"2,233",9,"339,399","1,731","13,037,474","2,597,003","5,020,199 ",Europe,,35780,,,445,
53,Pakistan,"1,577,339",+50,"30,644                                ",,"1,538,689",,"8,006",9,"6,873",134,"30,570,862","133,213","229,488,994 ",Asia,,"1457,4898",0.2,,35,
54,Norway,"1,479,453",,"5,213                                ",,"1,473,459",,781,20,"268,437",946,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,0571",,,142,
55,Finland,"1,462,976",,"8,936                                ",,"1,452,462",+65,"1,578",21,"263,364","1,609","12,047,792","2,168,835","5,554,960 ",Europe,,46220,,,284,
56,Kazakhstan,"1,408,124",,"13,846                                ",,"1,383,020",,"11,258",24,"73,321",721,"11,575,012","602,707","19,205,043 ",Asia,,"141,3872",,,586,
57,Slovenia,"1,331,196",,"7,077                                ",,"1,319,340",,"4,779",4,"640,604","3,406","2,840,362","1,366,851","2,078,034 ",Europe,,22941,,,"2,300",
58,Lithuania,"1,307,448",,"9,596                                ",,"1,291,795",,"6,057",6,"491,206","3,605","10,387,153","3,902,439","2,661,708 ",Europe,,22770,,,"2,276",
59,Bulgaria,"1,297,451",,"38,225                                ",,"1,256,205",,"3,021",25,"189,558","5,585","11,072,204","1,617,656","6,844,597 ",Europe,,51791,,,441,
60,Morocco,"1,272,490",,"16,296                                ",,"1,256,151",,43,3,"33,688",431,"12,992,640","343,969","37,772,756 ",Africa,,"302,3183",,,1,
61,Croatia,"1,269,326",,"17,987                                ",,"1,250,890",,449,5,"312,697","4,431","5,521,987","1,360,335","4,059,286 ",Europe,,32261,,,111,
62,Guatemala,"1,238,049",,"20,182                                ",,"1,216,847",,"1,020",5,"66,619","1,086","6,971,176","375,116","18,584,039 ",North America,,159213,,,55,
63,Lebanon,"1,232,649",,"10,840                                ",,"1,087,587",,"134,222",74,"184,394","1,622","4,795,578","717,380","6,684,849 ",Asia,,56171,,,"20,079",
64,Costa Rica,"1,209,725",,"9,245                                ",,"860,711",,"339,769",52,"233,432","1,784","4,659,757","899,158","5,182,354 ",North America,,45611,,,"65,563",
65,Bolivia,"1,194,187",,"22,365                                ",,"1,160,189",,"11,633",220,"99,577","1,865","2,705,422","225,590","11,992,656 ",South America,,105364,,,970,
66,Tunisia,"1,151,126",,"29,341                                ",,N/A,N/A,N/A,44,"95,556","2,436","5,003,083","415,309","12,046,656 ",Africa,,104112,,,978,
67,Cuba,"1,112,637",,"8,530                                ",,"1,104,024",,83,2,"98,414",754,"14,321,589","1,266,764","11,305,652 ",North America,,"101,3251",,,7,
68,Ecuador,"1,057,121",,"36,014                                ",,"1,020,564",,543,759,"58,361","1,988","3,082,403","170,173","18,113,361 ",South America,,175036,,,30,
69,UAE,"1,053,068",,"2,349                                ",,"1,035,834",,"14,885",,"104,453",233,"199,384,754","19,776,731","10,081,785 ",Asia,,"104,2920",,,"1,476",
70,Uruguay,"1,034,303",,"7,617                                ",,"1,026,186",,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016 ",South America,,34591,,,143,
71,Panama,"1,031,731",,"8,609                                ",,"1,022,524",,598,16,"232,008","1,936","7,548,346","1,697,416","4,446,964 ",North America,,45171,,,134,
72,Mongolia,"1,007,900",,"2,179                                ",,"1,005,717",,4,192,"298,365",645,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,5501",,,1,
